"CD_NOM","NOM_VALIDE","LAVERGNE"
"612513","Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000","5"
"448692","Ludwigia peploides subsp. peploides (Kunth) P.H.Raven, 1964","5"
"612514","Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964","5"
"612522","Oenothera villosa subsp. villosa Thunb., 1794","2"
"455754","Oxalis corniculata subsp. corniculata L., 1753","1"
"138497","Oxalis corniculata subsp. purpurea (Parl.) Arcang., 1882","1"
"1039437","Taxodium distichum var. distichum (L.) Rich., 1810","1"
"621335","Taxodium distichum var. imbricarium (Nutt.) Croom, 1837","1"
"162475","Pseudotsuga menziesii var. menziesii (Mirb.) Franco, 1950","1"
"162474","Pseudotsuga menziesii var. glauca (Beissn.) Franco, 1950","1"
"145855","Cyperus esculentus var. esculentus L., 1753","3"
"145856","Cyperus esculentus var. heermannii (Buckley) Britton, 1886","3"
"145857","Cyperus esculentus var. leptostachyus Boeckeler, 1870","3"
"145858","Cyperus esculentus var. macrostachyus Boeckeler, 1870","3"
"145859","Cyperus esculentus var. sativus Boeckeler, 1870","3"
"718240","Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon, 2011","3"
"718241","Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon, 2011","3"
"136961","Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn., 1935","3"
"612142","Juncus tenuis subsp. tenuis Willd., 1799","3"
"923233","Eragrostis barrelieri subsp. barrelieri Daveau, 1894","1"
"162008","Eragrostis virescens subsp. virescens J.Presl, 1830","2 et 2+"
"146306","Echinochloa muricata var. muricata (P.Beauv.) Fernald, 1915","2 et 2+"
"146305","Echinochloa muricata var. microstachya Wiegand, 1921","2 et 2+"
"1031429","Panicum dichotomiflorum subsp. dichotomiflorum Michx., 1803","3"
"138542","Panicum miliaceum subsp. miliaceum L., 1753","3"
"138541","Panicum miliaceum subsp. agricola Scholz & Mikoláš, 1991","3"
"138543","Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev, 1968","3"
"151624","Setaria adhaerens var. adhaerens (Forssk.) Chiov., 1919","1"
"151626","Setaria adhaerens var. font-queri Calduch, 1968","1"
"718319","Bromopsis inermis subsp. inermis (Leyss.) Holub, 1973","3"
"160941","Glyceria striata subsp. striata (Lam.) Hitchc., 1928","3"
"718357","Glyceria striata subsp. difformis Portal, 2014","3"
"718370","Lagurus ovatus subsp. ovatus L., 1753","1"
"718409","Secale cereale subsp. cereale L., 1753","1"
"718429","Triticum aestivum subsp. aestivum L., 1753","1"
"620964","Triticum aestivum subsp. compactum (Host) Mackey, 1954","1"
"141957","Triticum aestivum subsp. spelta (L.) Thell., 1912","1"
"718431","Triticum turgidum subsp. turgidum L., 1753","1"
"621236","Triticum turgidum subsp. dicoccon (Schrank) Thell., 1918","1"
"141978","Triticum turgidum subsp. durum (Desf.) Husn., 1899","1"
"620966","Triticum turgidum subsp. polonicum (L.) Thell., 1918","1"
"139458","Pseudo-fumaria alba subsp. alba (Mill.) Lidén, 1986","1"
"612438","Clematis viticella subsp. viticella L., 1753","1"
"718219","Clematis viticella subsp. campaniflora (Brot.) Kuntze, 1885","1"
"718723","Nigella hispanica var. hispanica L., 1753","1"
"718724","Nigella hispanica var. intermedia Coss., 1849","1"
"1018850","Nigella hispanica var. papillosa (G.López) J.-M.Tison, 2021","1"
"960750","Cannabis sativa subsp. sativa L., 1753","1"
"132533","Cannabis sativa subsp. indica (Lam.) E.Small & Cronquist, 1976","1"
"613807","Prunus cerasifera f. cerasifera Ehrh., 1784","1"
"613805","Prunus cerasifera f. atropurpurea Diffel, 1893","1"
"613806","Prunus cerasifera f. spaethiana Wood ex Späth","1"
"150266","Prunus cerasus var. cerasus L., 1753","1"
"150261","Prunus cerasus var. acida (Ehrh.) Willd., 1796","1"
"150265","Prunus cerasus var. caproniana L., 1753","1"
"965168","Prunus domestica var. domestica L., 1753","1"
"965160","Prunus domestica var. insititia (L.) Fiori & Paol., 1898","1"
"613583","Prunus laurocerasus var. laurocerasus L., 1753","2 et 2+"
"613581","Prunus laurocerasus var. caucasica (Kirchn.) Jaeger","2 et 2+"
"613582","Prunus laurocerasus var. schipkaensis Späth ex H.L.Späth","2 et 2+"
"139441","Prunus lusitanica subsp. lusitanica L., 1753","1"
"145725","Crataegus azarolus var. azarolus L., 1753","1"
"145726","Crataegus azarolus var. chlorocarpa (Moris) K.I.Chr., 1992","1"
"989151","Spiraea alba var. alba Du Roi, 1772","1"
"989150","Spiraea alba var. latifolia (Aiton) Dippel, 1893","1"
"989148","Spiraea douglasii var. douglasii Hook., 1832","2"
"989141","Spiraea douglasii var. menziesii (Hook.) C.Presl, 1851","2"
"130708","Acer negundo subsp. negundo L., 1753","4"
"985734","Phedimus spurius subsp. spurius (M.Bieb) 't Hart, 1995","1"
"985735","Phedimus spurius subsp. oppositifolius (Sims) L.Gallo, 2020","1"
"149441","Physalis alkekengi var. alkekengi L., 1753","1"
"149442","Physalis alkekengi var. franchetii (Mast.) Makino, 1908","1"
"142452","Vitis vinifera subsp. vinifera L., 1753","1"
"142451","Vitis vinifera subsp. sylvestris (C.C.Gmel.) Hegi, 1925","1"
"613662","Brassica oleracea var. gongylodes L., 1753","1"
"932474","Brassica oleracea var. medullosa Thell, 1918","1"
"144393","Brassica oleracea var. sabellica L., 1753","1"
"144394","Brassica oleracea var. viridis L., 1753","1"
"446631","Brassica oleracea var. botrytis L., 1753","1"
"613661","Brassica oleracea var. italica Plenck, 1794","1"
"144384","Brassica oleracea var. capitata L., 1753","1"
