"CD_NOM","NOM_VALIDE","NOM_VERN","LAVERGNE"
"97703","Euphorbia x pseudovirgata","Euphorbe fausse-euphorbe en
baguette","2"
"97961","Fallopia baldschuanica","Renouée grimpante de Bal'dzhuan /
Renouée d'Aubert","2 et 2+"
"100330","Gleditsia triacanthos","Févier à épines triples","2+"
"103545","Impatiens capensis","Balsamine du Cap","2 et 2+"
"103557","Impatiens parviflora","Balsamine à petites fleurs","2 et 2+"
"105433","Lemna minuta","Lentille d'eau minuscule","2 et 2+"
"105442","Lemna turionifera","Lenticule à turion","2 et 2+"
"105615","Lepidium didymum","Passerage didyme","2+"
"105689","Lepidium virginicum","Passerage de Virginie","2"
"105960","Ligustrum lucidum","Troène luisant","2+"
"106571","Lonicera japonica","Chèvrefeuille du Japon","2+"
"106754","Lunaria annua","Lunaire annuelle","2+"
"106800","Lupinus x regalis","Lupin de Russell","2 et 2+"
"106965","Lycium barbarum","Lyciet commun","2 et 2+"
"109926","Oenothera glazioviana","Onagre de Glaziou","2"
"NOMATCH","NOMATCH","Onagre bisannuelle (groupe)","2"
"109911","Oenothera biennis",,
"109954","Oenothera pycnocarpa",,
"110762","Opuntia humifusa","Figuier de Barbarie couché","2"
"610563","Opuntia macrorhiza","Figuier de Barbarie à grosse racine","2"
"4872","Orthodontium lineare","(Bryophyte)","2"
"111863","Oxalis articulata","Oxalide articulée","2+"
"112195","Panicum miliaceum","Panic millet","2"
"128954","Veronica peregrina","Véronique voyageuse","2+"
"112467","Parthenocissus tricuspidata","Vigne-vierge à trois pointes","2+"
"112482","Paspalum dilatatum","Paspale dilaté","2 et 2+"
"112750","Persicaria orientalis","Persicaire du Levant","2"
"112790","Petasites pyrenaicus","Pétasite des Pyrénées","2"
"113418","Phytolacca americana","Raisin d'Amérique","2 et 2+"
"113683","Pinus nigra","Pin noir","2+"
"114024","Platanus x hispanica","Platane d'Espagne","2+"
"115527","Potentilla indica","Duchesnée d'Inde","2+"
"116089","Prunus laurocerasus","Laurier-cerise ou Laurier-palme","2 et 2+"
"116137","Prunus serotina","Cerisier d'automne","2 et 2+"
"116485","Pyracantha coccinea","Pyracantha écarlate","2+"
"116762","Quercus rubra","Chêne rouge d'Amérique","2"
"118477","Rosa rugosa","Rosier rugueux","2 et 2+"
"883894","Rubrivena polystachya","Renouée à épis nombreux","2+"
