"CD_NOM","LB_NOM"
81943,"Alyssum serpyllifolium"
81944,"Alyssum simplex"
524122,"Amansieae"
187277,"Amaranthaceae"
884107,"Amarantheae"
884083,"Amaranthoideae"
189023,"Amaranthus"
81954,"Amaranthus acutilobus"
81955,"Amaranthus albus"
81963,"Amaranthus blitoides"
81966,"Amaranthus blitum"
131285,"Amaranthus blitum subsp. blitum"
131286,"Amaranthus blitum subsp. emarginatus"
143439,"Amaranthus blitum var. blitum"
154276,"Amaranthus blitum var. emarginatus"
143440,"Amaranthus blitum var. oleraceus"
154277,"Amaranthus blitum var. pseudogracilis"
81970,"Amaranthus capensis"
131288,"Amaranthus capensis subsp. uncinatus"
81971,"Amaranthus caudatus"
926940,"Amaranthus crispus"
81976,"Amaranthus cruentus"
81978,"Amaranthus deflexus"
159531,"Amaranthus dinteri"
957251,"Amaranthus dinteri subsp. brevipetiolatus"
81991,"Amaranthus graecizans"
131291,"Amaranthus graecizans subsp. graecizans"
131292,"Amaranthus graecizans subsp. silvestris"
81992,"Amaranthus hybridus"
1007761,"Amaranthus hybridus x Amaranthus powelii subsp. bouchonii"
81994,"Amaranthus hypochondriacus"
82006,"Amaranthus muricatus"
82009,"Amaranthus palmeri"
82014,"Amaranthus polygonoides"
82015,"Amaranthus powellii"
961575,"Amaranthus powellii subsp. bouchonii"
961574,"Amaranthus powellii subsp. powellii"
82017,"Amaranthus quitensis"
82018,"Amaranthus retroflexus"
82023,"Amaranthus spinosus"
82024,"Amaranthus standleyanus"
884050,"Amaranthus subg. Acnida"
884115,"Amaranthus subg. Albersia"
884114,"Amaranthus subg. Amaranthus"
82030,"Amaranthus tricolor"
82033,"Amaranthus viridis"
82037,"Amaranthus x adulterinus"
82038,"Amaranthus x alleizettei"
82045,"Amaranthus x ralletii"
997888,"Amaranthus x ralletii nothosubsp. ralletii"
997880,"Amaranthus x ralletii nothosubsp. soproniensis"
187466,"Amaryllidaceae"
951357,"Amaryllideae"
599202,"Amaryllidoideae"
189025,"Amaryllis"
