"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Hieracium peleteranum Mérat ssp. ligericum Zahn";"Epervière de la Loire";"Pilosella peleteriana subsp. ligerica (Zahn) B.Bock, 2012";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718271"
"";"Hypericum richeri Vill.";"Millepertuis de Richer";"Hypericum richeri Vill., 1779 subsp. richeri";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"136772"
"";"Hypericum richeri Vill.";"Millepertuis de Richer";"Hypericum richeri subsp. burseri (DC.) Nyman, 1878";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"136771"
"";"Hypericum richeri Vill.";"Millepertuis de Richer";"Hypericum richeri Vill., 1779";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"103324"
"";"Hypericum X desetangsii Lamotte";"Millepertuis de Desetang";"Hypericum x desetangsii nothosubsp. carinthiacum (A.Fröhl.) N.Robson, 1998";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"136736"
"";"Hypericum X desetangsii Lamotte";"Millepertuis de Desetang";"Hypericum x desetangsii nothosubsp. desetangsii Lamotte, 1874";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718364"
"";"Hypericum X desetangsii Lamotte";"Millepertuis de Desetang";"Hypericum x desetangsii Lamotte, 1874 [nom. et typ. cons.]";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"103267"
"";"Jasione crispa (Pourret) Samp. ssp. arvernensis Tutin";"Jasione d'Auvergne";"Jasione crispa subsp. arvernensis Tutin, 1973";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"136883"
"";"Juncus gerardi Loisel";"Jonc de Gérard";"Juncus gerardi Loisel., 1809";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"104196"
"";"Leucanthemum monspeliense (L.) Coste";"Marguerite de Montpellier";"Leucanthemum monspeliense (L.) H.J.Coste, 1903";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"105803"
