"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Delphinium dubium (Rouy & Fouc.) Pawl.";"Pied d'alouette douteux";"Delphinium dubium (Rouy & Foucaud) Pawl., 1934";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94578"
"";"Delphinium elatum L.";"Pied d'alouette élevé";"Delphinium elatum subsp. helveticum Pawł., 1934";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"133766"
"";"Delphinium elatum L.";"Pied d'alouette élevé";"Delphinium elatum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94579"
"";"Delphinium fissum Waldst. et Kit.";"Pied d'alouette fendu";"Delphinium fissum Waldst. & Kit., 1802 subsp. fissum";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"133773"
"";"Delphinium fissum Waldst. et Kit.";"Pied d'alouette fendu";"Delphinium fissum Waldst. & Kit., 1802";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94580"
"";"Dianthus gratianopolitanus Vill.";"Oeillet de Grenoble";"Dianthus gratianopolitanus Vill., 1789";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94756"
"";"Dictamnus albus L.";"Fraxinelle blanche";"Dictamnus albus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94923"
"";"Doronicum clusii (All.) Tausch";"Doronic de Clusius";"Doronicum clusii (All.) Tausch, 1828";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"95215"
"";"Elatine alsinastrum L.";"Elatine faux alsine";"Elatine alsinastrum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"95847"
"";"Eleocharis ovata (Roth) Roemer & Schultes";"Scirpe ovale";"Eleocharis ovata (Roth) Roem. & Schult., 1817";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"95919"
"";"Empetrum nigrum L. ssp. hermaphroditum (Hagerup) Böcher";"Camarine hermaphrodite";"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"134095"
"";"Ephedra distachya L.";"Ephèdre de Suisse";"Ephedra distachya L., 1753 subsp. distachya";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"134101"
"";"Ephedra distachya L.";"Ephèdre de Suisse";"Ephedra distachya subsp. helvetica (C.A.Mey.) Asch. & Graebn., 1897";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718346"
"";"Ephedra distachya L.";"Ephèdre de Suisse";"Ephedra distachya L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"96101"
"";"Epipactis microphylla (Ehrh.) Swartz";"Epipactis à petites feuilles";"Epipactis microphylla (Ehrh.) Sw., 1800";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"96454"
"";"Erica herbacea L.";"Bruyère des neiges";"Erica carnea L., 1753 [nom. cons.]";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"96664"
"";"Euphorbia palustris L.";"Euphorbe des marais";"Euphorbia palustris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"97601"
"";"Exaculum pusillum (Lam.) Caruel";"Cicendie fluette";"Exaculum pusillum (Lam.) Caruel, 1886";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"97904"
"";"Festuca pulchella Schrader";"Fétuque joli";"Leucopoa pulchella (Schrad.) H.Scholz & Foggi, 2005 subsp. pulchella";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718376"
"";"Festuca pulchella Schrader";"Fétuque joli";"Leucopoa pulchella subsp. jurana (Gren.) H.Scholz & Foggi, 2005";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718375"
"";"Festuca pulchella Schrader";"Fétuque joli";"Leucopoa pulchella (Schrad.) H.Scholz & Foggi, 2005";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"717786"
"";"Festuca valesiaca Schleicher ex Gaudin";"Fétuque du Valais";"Festuca valesiaca Schleich. ex Gaudin, 1811";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"98596"
"";"Fritillaria meleagris L.";"Fritillaire pintade";"Fritillaria meleagris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"98977"
"";"Gentiana pneumonanthe L.";"Gentiane pneumonanthe";"Gentiana pneumonanthe L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 3";"99922"
